PRIM
100 : 748.4505334276249 ; 753.5560950038933 ; 751.0213501618563 ; 753.2157424771 ; 748.4852091164828 ; 755.082454741091 ; 760.84323432263 ; 760.2853053892059 ; 748.6047804343091 ; 751.4387764269603 ; 
125 : 942.231277209015 ; 939.2376461385553 ; 936.7205237604177 ; 934.1824393355506 ; 929.9142969563188 ; 938.0117765872507 ; 934.8136049723405 ; 935.3887600330272 ; 937.855558011881 ; 939.911770482406 ; 
150 : 1110.9033055313464 ; 1113.5062073087709 ; 1109.3918612455939 ; 1108.7258038741231 ; 1108.869719080245 ; 1109.221859371856 ; 1117.0087440011935 ; 1110.2699397021545 ; 1121.4233134772508 ; 1118.3620711205751 ; 
175 : 1289.1397540952435 ; 1300.3629138987208 ; 1300.4437393935596 ; 1290.1962879124023 ; 1290.1651090718324 ; 1293.5603788049036 ; 1278.0948347990966 ; 1299.2928517282378 ; 1303.4770233355766 ; 1289.0552560716806 ; 
200 : 1457.0548783191634 ; 1470.1416705056017 ; 1471.9267835204269 ; 1475.7768524719754 ; 1463.687690633666 ; 1460.9396505047432 ; 1470.912790554152 ; 1465.6890585522024 ; 1473.3241474428169 ; 1459.792093008837 ; 
225 : 1630.813429964705 ; 1631.068291958919 ; 1635.7207712170239 ; 1642.4241923714944 ; 1639.4291036589777 ; 1635.0716371208323 ; 1640.5611580580367 ; 1631.6782780139047 ; 1629.5305480339534 ; 1637.3043559665994 ; 
250 : 1823.251269446937 ; 1827.0590899082579 ; 1803.407251816741 ; 1825.158376485643 ; 1824.947008669934 ; 1815.416744457734 ; 1819.5714664848222 ; 1809.2131961607026 ; 1811.5374827792994 ; 1806.0313032282168 ; 
275 : 2000.8958933176975 ; 1991.5111701321255 ; 1997.1100657405952 ; 1974.7295696057558 ; 1980.7335770449795 ; 1997.820788682331 ; 1982.3573842083767 ; 1985.3544121686377 ; 1988.0914247693775 ; 1981.5463563195735 ; 
300 : 2158.3177852181298 ; 2160.27393646885 ; 2164.831868119935 ; 2164.178276138138 ; 2180.953618526257 ; 2163.6411638910636 ; 2151.4855969123314 ; 2156.5839150059855 ; 2149.524498406971 ; 2161.226070234039 ; 
325 : 2323.3733167691876 ; 2330.68453287988 ; 2324.135375701387 ; 2331.8100320575177 ; 2336.717933344124 ; 2338.0357613405195 ; 2349.731020153879 ; 2332.570341312502 ; 2335.3631704706304 ; 2328.3462914031415 ; 
350 : 2496.1344859228816 ; 2502.7187320951743 ; 2496.902433340965 ; 2508.222527657812 ; 2509.574872738031 ; 2511.7035886782714 ; 2500.427375824711 ; 2516.4567453543496 ; 2497.684467599676 ; 2517.4462965932003 ; 
375 : 2672.562541249869 ; 2684.304207951589 ; 2686.420296363857 ; 2677.866569064826 ; 2672.346744187604 ; 2690.470799132636 ; 2674.1115225863928 ; 2684.50731023277 ; 2678.9737416980133 ; 2685.9099284844738 ; 
400 : 2846.1988029758472 ; 2845.259478937195 ; 2852.6567768489917 ; 2863.893975413564 ; 2841.6780058089385 ; 2835.525232315514 ; 2853.1563289436353 ; 2846.8782275170065 ; 2859.0588093025754 ; 2849.1366027063596 ; 
425 : 3009.1931529544945 ; 3010.521655989543 ; 3015.775175368244 ; 3023.741001679183 ; 3015.3279716453108 ; 3021.325573938341 ; 3020.6806254421376 ; 3010.9045069787835 ; 2998.396230708745 ; 3022.773572040678 ; 
450 : 3191.2879319864646 ; 3175.8648278330743 ; 3189.2046358747116 ; 3183.3055423477376 ; 3182.6737373206115 ; 3183.999104382362 ; 3183.066611036963 ; 3181.5139244117686 ; 3192.214342992654 ; 3189.4445955474916 ; 
475 : 3363.4949144645752 ; 3369.551493957242 ; 3341.8552142180533 ; 3375.5188105500933 ; 3336.481246586973 ; 3369.3392165808395 ; 3356.2101950841416 ; 3359.78969288093 ; 3348.335620741439 ; 3356.8794146681057 ; 
500 : 3524.927180826914 ; 3530.430703542408 ; 3539.7094727110075 ; 3535.417684046162 ; 3539.619071592308 ; 3538.4217808905296 ; 3526.4351300112103 ; 3514.3347060001797 ; 3523.558656051168 ; 3508.2656175841985 ; 
525 : 3700.7382004950814 ; 3691.5726654433456 ; 3692.3214193104377 ; 3699.374424784721 ; 3708.9774645530842 ; 3684.335844954061 ; 3679.61898207609 ; 3694.7380390416993 ; 3697.7273800762605 ; 3692.214096211889 ; 
550 : 3871.703522254542 ; 3860.8501992849306 ; 3854.5440166265294 ; 3860.8333329807324 ; 3871.2974362619884 ; 3866.711867607486 ; 3868.4238509373604 ; 3877.2801260317738 ; 3872.512719921916 ; 3879.7183069436946 ; 
575 : 4029.3803947508636 ; 4012.422038047932 ; 4034.1903906691596 ; 4028.014004968007 ; 4025.1276561038717 ; 4039.934266245912 ; 4018.6036179920416 ; 4035.8088435394393 ; 4022.0846463268704 ; 4044.4281851908418 ; 
600 : 4198.821891718356 ; 4185.057733303749 ; 4195.411597970437 ; 4203.623471916776 ; 4201.284934102827 ; 4213.019998061987 ; 4215.91282761799 ; 4208.5215076551 ; 4202.326646951396 ; 4197.765229291079 ; 
625 : 4356.630626411491 ; 4357.514186686918 ; 4364.8752079822725 ; 4369.027049817205 ; 4362.056419145012 ; 4378.515423035324 ; 4382.346575187451 ; 4373.15853360618 ; 4379.865759517898 ; 4350.013563307998 ; 
650 : 4538.959950877956 ; 4542.228084154675 ; 4546.324661783436 ; 4543.024257205664 ; 4555.444467138533 ; 4533.645783824827 ; 4537.718420364559 ; 4535.098127891054 ; 4522.537853244874 ; 4532.871798407667 ; 
