100 : 0.0007755756378173828 ; 0.0008308887481689453 ; 0.0007903575897216797 ; 0.0009524822235107422 ; 0.0008118152618408203 ; 0.0009396076202392578 ; 0.0008103847503662109 ; 0.0007641315460205078 ; 0.0007252693176269531 ; 0.0007884502410888672 ; 0.0008561611175537109 ; 0.0009937286376953125 ; 0.0009047985076904297 ; 0.0007410049438476562 ; 0.0007634162902832031 ; 0.001241445541381836 ; 0.0009665489196777344 ; 0.0007760524749755859 ; 0.0007839202880859375 ; 0.0009839534759521484 ; 
125 : 0.0013380050659179688 ; 0.0015485286712646484 ; 0.001336812973022461 ; 0.0013377666473388672 ; 0.001443624496459961 ; 0.0013537406921386719 ; 0.001363992691040039 ; 0.0011763572692871094 ; 0.0012309551239013672 ; 0.0014028549194335938 ; 0.00145721435546875 ; 0.0015227794647216797 ; 0.0016977787017822266 ; 0.0013818740844726562 ; 0.001689910888671875 ; 0.0014088153839111328 ; 0.0015845298767089844 ; 0.0015480518341064453 ; 0.0010406970977783203 ; 0.0011963844299316406 ; 
150 : 0.002088308334350586 ; 0.0019443035125732422 ; 0.0017747879028320312 ; 0.0017077922821044922 ; 0.002000570297241211 ; 0.0021016597747802734 ; 0.0037734508514404297 ; 0.0017917156219482422 ; 0.0026683807373046875 ; 0.001836538314819336 ; 0.0015702247619628906 ; 0.0018613338470458984 ; 0.0020003318786621094 ; 0.0021359920501708984 ; 0.002043485641479492 ; 0.0032851696014404297 ; 0.0016331672668457031 ; 0.0016171932220458984 ; 0.0015859603881835938 ; 0.0020215511322021484 ; 
175 : 0.0023272037506103516 ; 0.002604961395263672 ; 0.0028634071350097656 ; 0.0027573108673095703 ; 0.0028676986694335938 ; 0.001859426498413086 ; 0.002645730972290039 ; 0.0033910274505615234 ; 0.0022156238555908203 ; 0.0019664764404296875 ; 0.002151012420654297 ; 0.002635478973388672 ; 0.0023162364959716797 ; 0.0024957656860351562 ; 0.0020537376403808594 ; 0.0019834041595458984 ; 0.002045154571533203 ; 0.0019462108612060547 ; 0.002881765365600586 ; 0.002131938934326172 ; 
200 : 0.002891063690185547 ; 0.0030057430267333984 ; 0.002706766128540039 ; 0.005565166473388672 ; 0.0028820037841796875 ; 0.0025777816772460938 ; 0.0030553340911865234 ; 0.00428009033203125 ; 0.0034775733947753906 ; 0.003245830535888672 ; 0.0031425952911376953 ; 0.002863168716430664 ; 0.002687215805053711 ; 0.0028214454650878906 ; 0.0033440589904785156 ; 0.0028717517852783203 ; 0.0029485225677490234 ; 0.002703428268432617 ; 0.002572298049926758 ; 0.002440214157104492 ; 
225 : 0.0031278133392333984 ; 0.0032520294189453125 ; 0.0027475357055664062 ; 0.0033380985260009766 ; 0.002950429916381836 ; 0.003136873245239258 ; 0.0036835670471191406 ; 0.003457307815551758 ; 0.003014802932739258 ; 0.0028955936431884766 ; 0.0031061172485351562 ; 0.0031991004943847656 ; 0.003223896026611328 ; 0.003019094467163086 ; 0.0032999515533447266 ; 0.0034227371215820312 ; 0.003383159637451172 ; 0.0028891563415527344 ; 0.0030219554901123047 ; 0.003071308135986328 ; 
250 : 0.0035843849182128906 ; 0.003487110137939453 ; 0.003938198089599609 ; 0.003743886947631836 ; 0.003770112991333008 ; 0.0037412643432617188 ; 0.003975391387939453 ; 0.0033996105194091797 ; 0.0035562515258789062 ; 0.0037336349487304688 ; 0.004311323165893555 ; 0.004408359527587891 ; 0.003648996353149414 ; 0.003763437271118164 ; 0.0048716068267822266 ; 0.005211591720581055 ; 0.0037572383880615234 ; 0.00843048095703125 ; 0.004064321517944336 ; 0.004429817199707031 ; 
275 : 0.0039522647857666016 ; 0.004316806793212891 ; 0.006169557571411133 ; 0.004545688629150391 ; 0.0048143863677978516 ; 0.004752397537231445 ; 0.014202117919921875 ; 0.004291534423828125 ; 0.004046440124511719 ; 0.006106138229370117 ; 0.005057334899902344 ; 0.007495403289794922 ; 0.006039142608642578 ; 0.004528045654296875 ; 0.005479335784912109 ; 0.004550933837890625 ; 0.004121065139770508 ; 0.004010677337646484 ; 0.0060384273529052734 ; 0.0038824081420898438 ; 
300 : 0.005135774612426758 ; 0.0047512054443359375 ; 0.005717277526855469 ; 0.005139589309692383 ; 0.0045435428619384766 ; 0.004987478256225586 ; 0.005524873733520508 ; 0.00510406494140625 ; 0.0049359798431396484 ; 0.004988431930541992 ; 0.004767894744873047 ; 0.004975318908691406 ; 0.005033731460571289 ; 0.0056247711181640625 ; 0.004857063293457031 ; 0.005082130432128906 ; 0.004774570465087891 ; 0.004857778549194336 ; 0.0064220428466796875 ; 0.005908966064453125 ; 
325 : 0.006051540374755859 ; 0.006899118423461914 ; 0.005513191223144531 ; 0.0055544376373291016 ; 0.005934476852416992 ; 0.0051729679107666016 ; 0.005654811859130859 ; 0.005262136459350586 ; 0.006008625030517578 ; 0.006025791168212891 ; 0.0055768489837646484 ; 0.005611419677734375 ; 0.005610466003417969 ; 0.006294965744018555 ; 0.005433797836303711 ; 0.0059359073638916016 ; 0.005975008010864258 ; 0.005129098892211914 ; 0.00522613525390625 ; 0.006996870040893555 ; 
