100 :0.004950164833761 ;0.0003485679626464844 ;404 ;312 ;92 ;4950 ;
100 :0.005796884181644779 ;0.00038886070251464844 ;468 ;376 ;92 ;4950 ;
100 :0.004846610869765765 ;0.00029349327087402344 ;297 ;205 ;92 ;4950 ;
100 :0.004296395865401016 ;0.0003635883331298828 ;435 ;343 ;92 ;4950 ;
100 :0.005385028435290899 ;0.0003535747528076172 ;440 ;348 ;92 ;4950 ;
100 :0.006778919986996181 ;0.00030994415283203125 ;362 ;270 ;92 ;4950 ;
100 :0.012529799583414884 ;0.0003559589385986328 ;425 ;333 ;92 ;4950 ;
100 :0.009223856911133194 ;0.0003757476806640625 ;475 ;383 ;92 ;4950 ;
100 :0.009008354452282824 ;0.0003783702850341797 ;453 ;361 ;92 ;4950 ;
100 :0.008330573385302043 ;0.0003876686096191406 ;490 ;398 ;92 ;4950 ;
125 :0.004574312419990877 ;0.0005271434783935547 ;626 ;559 ;67 ;7750 ;
125 :0.0029302546950014437 ;0.0004589557647705078 ;536 ;469 ;67 ;7750 ;
125 :0.002003791385142248 ;0.0004475116729736328 ;469 ;402 ;67 ;7750 ;
125 :0.005851519801392486 ;0.0005400180816650391 ;687 ;620 ;67 ;7750 ;
125 :0.009671066586684256 ;0.000537872314453125 ;651 ;584 ;67 ;7750 ;
125 :0.0025401252325012356 ;0.0005271434783935547 ;683 ;616 ;67 ;7750 ;
125 :0.00410692541008193 ;0.0006697177886962891 ;880 ;813 ;67 ;7750 ;
125 :0.016135816952899368 ;0.0007488727569580078 ;971 ;904 ;67 ;7750 ;
125 :0.0016899771323378027 ;0.00040268898010253906 ;441 ;374 ;67 ;7750 ;
125 :0.004824407158055546 ;0.0005085468292236328 ;552 ;485 ;67 ;7750 ;
150 :0.0035640370823460028 ;0.0005934238433837891 ;718 ;610 ;108 ;11175 ;
150 :0.0038378718821806537 ;0.00061798095703125 ;781 ;673 ;108 ;11175 ;
150 :0.00845476655114954 ;0.0006365776062011719 ;835 ;727 ;108 ;11175 ;
150 :0.001694875154132185 ;0.0007221698760986328 ;812 ;704 ;108 ;11175 ;
150 :0.0033431415453293047 ;0.0005853176116943359 ;715 ;607 ;108 ;11175 ;
150 :0.0031670073038311164 ;0.0005528926849365234 ;667 ;559 ;108 ;11175 ;
150 :0.007604173842124466 ;0.0007877349853515625 ;1135 ;1027 ;108 ;11175 ;
150 :0.006863553673070604 ;0.0006878376007080078 ;948 ;840 ;108 ;11175 ;
150 :0.0038017197987412783 ;0.0006990432739257812 ;925 ;817 ;108 ;11175 ;
150 :0.006209309118808422 ;0.0006301403045654297 ;840 ;732 ;108 ;11175 ;
175 :0.0037383588053693842 ;0.0006835460662841797 ;909 ;751 ;158 ;15225 ;
175 :0.006208176619421031 ;0.0007925033569335938 ;937 ;779 ;158 ;15225 ;
175 :0.0067724426761824295 ;0.0007832050323486328 ;1071 ;913 ;158 ;15225 ;
175 :0.0019026884769204457 ;0.0007314682006835938 ;907 ;749 ;158 ;15225 ;
175 :0.0031037284421984624 ;0.0006723403930664062 ;857 ;699 ;158 ;15225 ;
175 :0.00557105957608501 ;0.0007450580596923828 ;964 ;806 ;158 ;15225 ;
175 :0.0025426946619212243 ;0.0006220340728759766 ;757 ;599 ;158 ;15225 ;
175 :0.001746625226716548 ;0.000705718994140625 ;839 ;681 ;158 ;15225 ;
175 :0.003895921087828366 ;0.0006337165832519531 ;787 ;629 ;158 ;15225 ;
175 :0.0035673588994947136 ;0.0006823539733886719 ;822 ;664 ;158 ;15225 ;
200 :0.003979969130430348 ;0.0009970664978027344 ;1348 ;1164 ;184 ;19900 ;
200 :0.0013289847162843153 ;0.0009865760803222656 ;1340 ;1156 ;184 ;19900 ;
200 :0.002983272943515276 ;0.0009324550628662109 ;1214 ;1030 ;184 ;19900 ;
200 :0.004238744897911184 ;0.0007946491241455078 ;982 ;798 ;184 ;19900 ;
200 :0.005486650130538384 ;0.0009546279907226562 ;1313 ;1129 ;184 ;19900 ;
200 :0.002439483194867856 ;0.0008561611175537109 ;1119 ;935 ;184 ;19900 ;
200 :0.006547090822362445 ;0.0008540153503417969 ;1065 ;881 ;184 ;19900 ;
200 :0.0036797402728944418 ;0.0008699893951416016 ;1132 ;948 ;184 ;19900 ;
200 :0.001952489739763038 ;0.0009164810180664062 ;1233 ;1049 ;184 ;19900 ;
200 :0.001990515852578819 ;0.0007832050323486328 ;1029 ;845 ;184 ;19900 ;
225 :0.0034530753915850247 ;0.0010175704956054688 ;1282 ;1123 ;159 ;25200 ;
225 :0.006977518185760434 ;0.0012941360473632812 ;1623 ;1464 ;159 ;25200 ;
225 :0.002644081608101626 ;0.0010428428649902344 ;1332 ;1173 ;159 ;25200 ;
225 :0.005756542089923088 ;0.0011565685272216797 ;1557 ;1398 ;159 ;25200 ;
225 :0.002692376781198094 ;0.0009407997131347656 ;1166 ;1007 ;159 ;25200 ;
225 :0.0034114141452068524 ;0.0010461807250976562 ;1321 ;1162 ;159 ;25200 ;
225 :0.004466726725204278 ;0.0010361671447753906 ;1311 ;1152 ;159 ;25200 ;
225 :0.0021044916318238645 ;0.0010721683502197266 ;1365 ;1206 ;159 ;25200 ;
225 :0.0017291807449493137 ;0.0011546611785888672 ;1030 ;871 ;159 ;25200 ;
225 :0.002935388088655132 ;0.0011272430419921875 ;1405 ;1246 ;159 ;25200 ;
250 :0.0020180892883230788 ;0.0012044906616210938 ;1417 ;1283 ;134 ;31125 ;
250 :0.0021258755588268066 ;0.0012078285217285156 ;1501 ;1367 ;134 ;31125 ;
